STT 	 Sản Phẩm                                                                                                                       	 Quy Cách                                                                                                            	 Phân nhóm Cấp 1    	 Phân nhóm Cấp 2                     	 Số đăng ký / Số công bố
  30	 Máy đo đường huyết On Call Plus                                                                                                	 Hộp 1 máy                                                                                                           	 Trang thiết bị Y tế	 Máy Móc Và Thiết Bị Đo              	 40 PL-MDC-PCBPL-BYT
  31	 Que thử đường huyết On Call Plus Hộp 2 lọ x 25 que Acon                                                                        	 Hộp 50 que                                                                                                          	 Trang thiết bị Y tế	 Máy Móc Và Thiết Bị Đo              	 170000360/PCBMB-HCM
  32	 Lactéol 340mg Hộp 10 gói Adare                                                                                                 	 Hộp 10 Gói                                                                                                          	 Thuốc không kê đơn 	 Thuốc tiêu hóa - gan mật            	 QLSP-906-15
  33	 Tabifobed-New Hộp 1 vỉ x 10 viên nang cứng ADPharm                                                                             	 Hộp 1 vỉ x 10 viên nang cứng                                                                                        	 Thuốc không kê đơn 	 Thuốc dị ứng và miễn dịch           	 VD-34253-20.
  34	 Lột mụn cám lô hội Mayan Skincare Hộp 4 miếng                                                                                  	 Hộp 4 miếng                                                                                                         	 Trang thiết bị Y tế	 Chăm sóc cá nhân                    	 160822/21/CBMP-QLD
  35	 Lột mụn Power nose cleaning strips charcoal Hộp 4 miếng                                                                        	 Hộp 4 miếng                                                                                                         	 Mỹ phẩm            	 Chăm sóc sắc đẹp                    	 101897/19/CBMP-QLD
  36	 Kem đánh răng cao cấp Hàn Quốc 2080 Dongyi Shenggum Hộp 1 tuýp x 120g                                                          	 Tuýp 120g                                                                                                           	 Hàng tiêu dùng     	 Chăm sóc cá nhân                    	 146768/21/CBMP-QLD
  37	 Diếp cá thảo dược Hộp 3 vỉ x 10 viên Akopha                                                                                    	 Hộp 3 vỉ x 10 viên                                                                                                  	 Thực phẩm chức năng	 Vitamin và khoáng chất              	 1483/2018/ĐKSP
  38	 Diếp cá thảo dược Hộp 1 lọ x 30 viên Akopha                                                                                    	 Hộp 1 lọ x 30 viên                                                                                                  	 Thực phẩm chức năng	 Vitamin và khoáng chất              	 1483/2018/ĐKSP
  39	 Bổ sung chất điện giải Orizoll pluss Tuýp x 10 viên nén sủi Akopha                                                             	 Tuýp x 10 viên nén sủi                                                                                              	 Thực phẩm chức năng	 Vitamin và khoáng chất              	 4661/2018/ĐKSP
  40	 Trí não Brain DHA Hộp 20 gói x 3g Akopha                                                                                       	 Hộp 20 gói                                                                                                          	 Thực phẩm chức năng	 Vitamin và khoáng chất              	 12781/2020/ĐKSP
  41	 Liquid Calcium+D3 Hộp 1 lọ x 30 viên nang mềm Akopha                                                                           	 Hộp 1 lọ x 30 viên nang mềm                                                                                         	 Thực phẩm chức năng	 Vitamin và khoáng chất              	 7380/2018/ĐKSP
  42	 Biotin 5mg Hộp 20 viên nén bao phim Akopha                                                                                     	 Hộp 2 vỉ x 10 viên                                                                                                  	 Thuốc không kê đơn 	 Vitamin và khoáng chất              	 
  43	 Derma Forte Hộp 1 tuýp 15g Alcom                                                                                               	 Hộp 1 tuýp 15g                                                                                                      	 Thuốc không kê đơn 	 Da liễu                             	 002830/14/CBMP-HCM
  44	 Dung dịch nhỏ mắt Systane Ultra hộp 1 chai 5ml Alcon                                                                           	 Chai 5ml                                                                                                            	 Thuốc không kê đơn 	 Mắt                                 	 VN-19762-16
  45	 Dung dịch nhỏ mắt Systane Ultra Hộp 1 chai 10ml Alcon                                                                          	 Hộp 1 chai 10ml                                                                                                     	 Thuốc không kê đơn 	 Mắt                                 	 VN-19762-16
