STT 	 Sản Phẩm                                                                                                                       	 Quy Cách                                                                                                            	 Phân nhóm Cấp 1    	 Phân nhóm Cấp 2                     	 Số đăng ký / Số công bố
 365	 Nước Súc Miệng TB trắng chai 500ml Traphaco                                                                                    	 Chai 500ml                                                                                                          	 Thuốc không kê đơn 	 Chăm sóc cá nhân                    	 VS-4928-16
 366	 Bột khử mùi Trapha Hộp 1 lọ x 30g Traphaco                                                                                     	 Hộp 1 lọ x 30g                                                                                                      	 Mỹ phẩm            	 Chăm sóc cá nhân                    	 09/23/CBMP-TNg
 367	 Vitamin B2 2mg Hộp 6 vỉ x 30 viên nén Traphaco                                                                                 	 Hộp 6 vỉ x 30 viên nén                                                                                              	 Thuốc không kê đơn 	 Vitamin và khoáng chất              	 VD-21981-14
 368	 Vitamin PP 50mg Hộp 6 vỉ x 30 viên nén Traphaco                                                                                	 Hộp 6 vỉ x 30 viên nén                                                                                              	 Thuốc không kê đơn 	 Vitamin và khoáng chất              	 VD-21016-14
 369	 Azizi hộp 1 vỉ x 3 viên nén bao phim Traphaco                                                                                  	 hộp 1 vỉ x 3 viên nén bao phim                                                                                      	 Thuốc kê đơn       	 Kháng Sinh                          	 VD-35695-22
 370	 Viên bổ gan Boganic Premium Hộp 30 viên Traphaco                                                                               	 Hộp 30 viên                                                                                                         	 Thực phẩm chức năng	 Tiêu hóa Gan Mật                    	 2054/2020/ĐKSP
 371	 Que thử thai HCG Allisa Hộp 1 que thử Traphaco                                                                                 	 Hộp 1 que test                                                                                                      	 Trang Thiết Bị Y Tế	 Chăm sóc mẹ và bé                   	 220003926/PCBB-HN
 372	 Aspirin 100 Hộp 3 vỉ x 10 viên bao tan trong ruột Traphaco                                                                     	 Hộp 3 vỉ x 10 viên                                                                                                  	 Thuốc kê đơn       	 Tim mạch Huyết áp                   	 VD-20058-13
 373	 Vitamin B2 2.0mg Hộp 6 vỉ x 30 viên nén Traphaco                                                                               	 Hộp 6 Vỉ x 30 Viên                                                                                                  	 Thuốc không kê đơn 	 Vitamin và khoáng chất              	 VD-21981-14
 374	 Thuốc nhỏ mắt Tobramycin 0,3% chai 6ml Traphaco                                                                                	 Hộp 1 lọ x 6 ml,                                                                                                    	 Thuốc kê đơn       	 Mắt                                 	 893110454824
 375	 Thuốc nhỏ mũi Nostravin 0.05% lọ 8ml Traphaco                                                                                  	 Hộp 1 lọ 8ml                                                                                                        	 Thuốc không kê đơn 	 Hô hấp                              	 893100244900
 376	 Dimenhydrinat 50mg Hộp 10 vỉ x 10 viên nén Traphaco                                                                            	 Hộp 10 vỉ x 10 viên nén                                                                                             	 Thuốc không kê đơn 	 Dị ứng và Miễn dịch                 	 VD-26453-17
 377	 Dibetalic Hộp 1 tuýp 15g Traphaco                                                                                              	 Hộp 1 tuýp 15g                                                                                                      	 Thuốc kê đơn       	 Da liễu                             	 VD-23251-15
 378	 Thuốc nhỏ mắt Ofloxacin 0,3% lọ 6ml Traphaco                                                                                   	 Hộp 1 lọ x 5ml                                                                                                      	 Thuốc kê đơn       	 Mắt                                 	 VD-28364-17
 379	 ANTOT IQ Hộp 20 ống x 10ml Traphaco                                                                                            	 Hộp 2 Vỉ x 10 Ống x 10ml                                                                                            	 Thực phẩm chức năng	 Thần kinh,não                       	 4183/2020/ĐKSP
 380	 Azizi 500mg Hộp 1 vỉ x 3 viên nén Traphaco                                                                                     	 Hộp 1 vỉ x 3 viên nén                                                                                               	 Thuốc kê đơn       	 Kháng Sinh                          	 VD-35695-22
 381	 Nước Súc Miệng TB fresh Chai 500ml Traphaco                                                                                    	 Chai 500ml                                                                                                          	 Thuốc không kê đơn 	 Chăm sóc cá nhân                    	 VS-4863-13
 382	 Tottri Hộp 3 vỉ x 10 viên nang cứng Traphaco                                                                                   	 Hộp 3 vỉ x 10 viên nang cứng                                                                                        	 Thực phẩm chức năng	 Tiêu hóa Gan Mật                    	 1549/2018/ĐKSP
 383	 Trà Gừng Hộp 10 gói x 3g Traphaco                                                                                              	                                                                                                                     	 Thuốc không kê đơn 	 Tiêu hóa Gan Mật                    	 893200041824
 384	 Dung dịch xịt tạo màng sinh học Nacurgo Hộp 1 chai x 12ml Newtech                                                              	 Hộp 1 chai x 12ml                                                                                                   	 Mỹ Phẩm            	 Chăm sóc cá nhân                    	 210000004/PCBA-HN
 385	 Kem đánh răng Lipzo 3 tác động Hộp 1 tuýp x 190g Diligo                                                                        	 Tuýp 190g                                                                                                           	 Mỹ Phẩm            	 Chăm sóc cá nhân                    	 375/24/CBMP-BN
 386	 Kem đánh răng Lipzo dược liệu ngừa chảy máu chân răng Hộp 1 tuýp x 110g Diligo                                                 	 Tuýp 110g                                                                                                           	 Mỹ Phẩm            	 Chăm sóc cá nhân                    	 375/24/CBMP-BN
 387	 Kem đánh răng Lipzo Gum Protect Hộp 1 tuýp x 185g Diligo                                                                       	 Tuýp 185g                                                                                                           	 Mỹ Phẩm            	 Chăm sóc cá nhân                    	 375/24/CBMP-BN
 388	 Xịt lạnh Ligpro cold spray Chai 160ml Quang Thịnh                                                                              	 Chai 160ml                                                                                                          	 Mỹ Phẩm            	 Chăm sóc cá nhân                    	 2022/QUANGTHINH
 389	 Dung dịch dùng ngoài D.E.P Chai 20ml Hải Dương                                                                                 	 Chai 20ml                                                                                                           	 Thuốc không kê đơn 	 Da liễu                             	 VD-33692-19
 390	 Hỗn dịch dùng ngoài Hồ nước Lọ 20g Hải Dương                                                                                   	 Lọ 20g                                                                                                              	 Thuốc không kê đơn 	 Da liễu                             	 VD-20492-14
 391	 Paclovir 5% Hộp 1 tuýp 5g Apimed Pharma                                                                                        	 Tuýp 5g                                                                                                             	 Thuốc không kê đơn 	 Da liễu                             	 VD-31496-19
 392	 Ketoderm cream 200mg hộp 1 tuýp 10g Apimedpharma                                                                               	 hộp 1 tuýp 10g                                                                                                      	 Thuốc không kê đơn 	 Da liễu                             	 VD-29619-18
 393	 Candipa 1% Hộp 1 tuýp 10g Apimedpharma                                                                                         	 hộp 1 tuýp 10g                                                                                                      	 Thuốc không kê đơn 	 Da liễu                             	 893100126825
 394	 Naphazolin 0,05% Lọ 10ml Danapha                                                                                               	 Hộp 1 Chai x 5ml                                                                                                    	 Thuốc không kê đơn 	 Da liễu                             	 VD-29627-18
 395	 VG-5 Hỗ trợ điều trị viêm gan Hộp 40 viên nén bao phim Danapha                                                                 	 Hộp 40 viên                                                                                                         	 Thuốc không kê đơn 	 Tiêu hóa Gan Mật                    	 VD-26683-17
 396	 Thuốc nhỏ mũi Naphazolin 0.05% Lọ 10ml DANAPHA                                                                                 	 Lọ 10ml                                                                                                             	 Thuốc không kê đơn 	 Hô hấp                              	 893100064800
 397	 Ambroxol 0.3% Hộp 1 chai x 60ml Danapha                                                                                        	 Hộp 1 chai x 60ml                                                                                                   	 Thuốc không kê đơn 	 Hô hấp                              	 893100138324
 398	 Naphazolin 0.05% Hộp 1 lọ x 5ml Danapha                                                                                        	 Hộp 1 lọ x 5ml                                                                                                      	 Thuốc không kê đơn 	 Da liễu                             	 VD-29627-18
 399	 Amitriptylin 25mg Hộp 1 lọ x 100 viên nén bao phim Danaphar                                                                    	 Hộp 1 lọ x 100 viên nén bao phim                                                                                    	 Thuốc kê đơn       	 Thần kinh,não                       	 893110307424
 400	 Gel thụt trực tràng Stiprol 9g Hộp 6 tuýp Hadiphar                                                                             	 Hộp 6 Tuýp                                                                                                          	 Thuốc không kê đơn 	 Tiêu hóa Gan Mật                    	 VD-21083-14
 401	 Hadilium 10mg Hộp 10 vỉ x 10 viên Hadiphar                                                                                     	 Hộp 10 vỉ x 10 viên                                                                                                 	 Thuốc kê đơn       	 Tiêu hóa Gan Mật                    	 VD-23455-15
 402	 Stiprol 3g Hộp 6 tuýp thụt x 3g Hadiphar                                                                                       	 Hộp 6 tuýp thụt x 3g                                                                                                	 Thuốc không kê đơn 	 Tiêu hóa Gan Mật                    	 VD-21083-14
 403	 Stiprol 9g Hộp 6 tuýp thụt x 9g Hadiphar                                                                                       	 Hộp 6 tuýp thụt x 9g                                                                                                	 Thuốc không kê đơn 	 Tiêu hóa Gan Mật                    	 VD-21083-14
 404	 Tâm diệu vương Hộp 10 vỉ x 10 viên Hadiphar                                                                                    	 Hộp 10 vỉ x 10 viên                                                                                                 	 Thực phẩm chức năng	 Thần kinh,não                       	 4513/2018/ĐKSP
 405	 Stiprol 3g Hộp 6 tuýp Hadiphar                                                                                                 	 Hộp 6 tuýp x 3g                                                                                                     	 Thuốc không kê đơn 	 Tiêu hóa Gan Mật                    	 VD-21083-14
 406	 Giảm đau Hadiphar Hộp 15 vỉ x 12 viên nén                                                                                      	 Hộp 15 vỉ x 12 viên                                                                                                 	 Thuốc không kê đơn 	 Giảm đau Hạ sốt                     	 VD-34084-20
 407	 Mộc hoa trắng HT Hộp 10 vỉ x 10 viên Hadiphar                                                                                  	 Hộp 10 vỉ x 10 viên                                                                                                 	 Thuốc không kê đơn 	 Tiêu hóa Gan Mật                    	 VD-32493-19
 408	 Sirnakarang F thuốc cốm trị sỏi thận, sỏi mật Hộp 10 gói x 6g HADIPHAR                                                         	 Hộp 10 gói x 6g                                                                                                     	 Thuốc không kê đơn 	 Tiêu hóa Gan Mật                    	 893200042824
 409	 Terpin - Dextromethorphan Hộp 10 vỉ x 10 viên nang HADIPHAR                                                                    	 Hộp 10 vỉ x 10 viên                                                                                                 	 Thuốc kê đơn       	 Hô hấp                              	 VD-28799-18
 410	 Thuốc giảm đau TK3 300mg hộp 10 vỉ x 10 viên Hadiphar                                                                          	 hộp 10 vỉ x 10 viên                                                                                                 	 Thuốc không kê đơn 	 Giảm đau Hạ sốt                     	 VD-28656-18
 411	 Mộc hoa trắng-HT Hộp 10 vỉ x 10 viên nén bao phim Hadiphar                                                                     	 Hộp 10 vỉ x 10 viên nén bao phim                                                                                    	 Thuốc không kê đơn 	 Tiêu hóa Gan Mật                    	 VD-32493-19
 412	 Lifedovate Cream 0,05% Hộp 1 tuýp 10g Hadiphar                                                                                 	 Hộp 1 Tuýp x 10g                                                                                                    	 Thuốc không kê đơn 	 Da liễu                             	 VD-34632-20
 413	 Telfor 60mg Hộp 2 vỉ x 10 viên nén bao phim DHG                                                                                	 Hộp 2 vỉ x 10 viên                                                                                                  	 Thuốc không kê đơn 	 Dị ứng và Miễn dịch                 	 893100013900
 414	 Telfor 180mg Hộp 2 vỉ x 10 viên nén bao phim DHG                                                                               	 Hộp 2 vỉ x 10 viên                                                                                                  	 Thuốc không kê đơn 	 Dị ứng và Miễn dịch                 	 893100271023
 415	 Telfor 120mg Hộp 2 vỉ x 10 viên nén bao phim DHG                                                                               	 Hộp 2 vỉ x 10 viên                                                                                                  	 Thuốc không kê đơn 	 Dị ứng và Miễn dịch                 	 893100270923
 416	 Zinc 70mg Hộp 10 vỉ x 10 viên DHG                                                                                              	 Hộp 10 vỉ x 10 viên                                                                                                 	 Thuốc không kê đơn 	 Vitamin và khoáng chất              	 VD-21787-14
 417	 Hafixim 200 Tabs Hộp 3 vỉ x 10 viên DHG                                                                                        	 Hộp 3 vỉ x 10 viên                                                                                                  	 Thuốc kê đơn       	 Kháng Sinh                          	 893110585824
 418	 Haginir 300 Hộp 2 vỉ x 10 viên nang cứng DHG                                                                                   	 Hộp 2 vỉ x 10 viên nang cứng                                                                                        	 Thuốc kê đơn       	 Kháng Sinh                          	 893110269223
 419	 Hapenxin Capsules Hộp 10 vỉ x 10 viên DHG                                                                                      	 Hộp 10 vỉ x 10 viên                                                                                                 	 Thuốc kê đơn       	 Kháng Sinh                          	 893110654424
 420	 Atocib 120mg Hộp 3 vỉ x 10 viên DHG                                                                                            	 Hộp 3 vỉ x 10 viên                                                                                                  	 Thuốc kê đơn       	 Chống viêm, giảm sưng phù nề        	 893110268123
 421	 Eltium 50 Hộp 5 vỉ x 10 viên DHG                                                                                               	 Hộp 5 vỉ x 10 viên                                                                                                  	 Thuốc kê đơn       	 Tiêu hóa Gan Mật                    	 893110268723
 422	 Atocib 60mg Hộp 3 vỉ x 10 viên DHG                                                                                             	 Hộp 3 vỉ x 10 viên                                                                                                  	 Thuốc kê đơn       	 Chống viêm, giảm sưng phù nề        	 893110268223
 423	 Angut 300mg Hộp 10 vỉ x 10 viên DHG                                                                                            	 Hộp 10 vỉ x 10 viên                                                                                                 	 Thuốc kê đơn       	 Cơ Xương Khớp                       	 893110477824
 424	 Zaromax 500 Hộp 3 vỉ x 10 viên DHG                                                                                             	 Hộp 3 vỉ x 10 viên                                                                                                  	 Thuốc kê đơn       	 Kháng Sinh                          	 893110271323
 425	 Atocib 90mg Hộp 3 vỉ x 10 viên DHG                                                                                             	 Hộp 3 vỉ x 10 viên                                                                                                  	 Thuốc kê đơn       	 Chống viêm, giảm sưng phù nề        	 893110268323
 426	 Neni 800 Hộp 3 vỉ x 10 viên DHG                                                                                                	 Hộp 3 vỉ x 10 viên                                                                                                  	 Thuốc kê đơn       	 Thần kinh,não                       	 VD-20581-14
 427	 Haxium 40mg Hộp 3 vỉ x 10 viên nang cứng DHG                                                                                   	 Hộp 3 vỉ x 10 viên nang cứng                                                                                        	 Thuốc kê đơn       	 Tiêu hóa Gan Mật                    	 893110269523
 428	 Hapacol 650 Hộp 10 vỉ x 10 viên DHG                                                                                            	 Hộp 10 vỉ x 10 viên                                                                                                 	 Thuốc không kê đơn 	 Giảm đau Hạ sốt                     	 893100013300
 429	 Klamentin 500/62,5 Hộp 24 gói x 2g DHG                                                                                         	 Hộp 24 gói x 2gam                                                                                                   	 Thuốc kê đơn       	 Kháng Sinh                          	 893110129325
 430	 Edoz Hộp 24 gói x 2g bột sủi bọt DHG                                                                                           	 hộp 24 gói bột sủi bọt                                                                                              	 Thực phẩm chức năng	 Tiêu hóa Gan Mật                    	 9061/2020/ÐKSP
 431	 Medskin Fusi 2% Hộp 1 tuýp 10g kem bôi da DHG                                                                                  	 Hộp 1 tuýp x 10g                                                                                                    	 Thuốc kê đơn       	 Da liễu                             	 893110267823
 432	 MedSkin Clovir 5% Hộp 1 tuýp 5g DHG                                                                                            	 Hộp 1 tuýp 5g                                                                                                       	 Thuốc không kê đơn 	 Da liễu                             	 VD-19281-13
 433	 Clorpheniramin 4mg Hộp 10 vỉ x 20 viên nén dài DHG                                                                             	 Hộp 10 vỉ x 20 viên                                                                                                 	 Thuốc không kê đơn 	 Dị ứng và Miễn dịch                 	 VD-21132-14
 434	 Apitim 5 hộp 3 vỉ x 10 viên nang cứng DHG                                                                                      	 Hộp 3 vỉ x 10 viên                                                                                                  	 Thuốc kê đơn       	 Tim mạch Huyết áp                   	 893110140124
 435	 Hapacol 150mg Hộp 24 gói x 1.5g bột sủi vị cam DHG                                                                             	 Hộp 24 Gói                                                                                                          	 Thuốc không kê đơn 	 Giảm đau Hạ sốt                     	 893100041023
 436	 Hapacol 250mg Hộp 24 gói x 1.5g bột sủi vị cam DHG                                                                             	 Hộp 24 gói                                                                                                          	 Thuốc không kê đơn 	 Giảm đau Hạ sốt                     	 893100041023
 437	 Klamentin 875/125 Hộp 1 túi x 2 vỉ x 7 viên nén dài bao phim DHG                                                               	 Hộp 2 Vỉ x 7 Viên                                                                                                   	 Thuốc kê đơn       	 Kháng Sinh                          	 VD-24618-16
 438	 Bocalex Multi Tuýp 20 viên sủi DHG                                                                                             	 Tuýp 20 viên sủi                                                                                                    	 Thực phẩm chức năng	 Vitamin và khoáng chất              	 5810/2022/ĐKSP
 439	 Poncif DHG Hộp 3 vỉ x 10 viên nén bao phim DHG                                                                                 	 Hộp 3 vỉ x 10 viên nén bao                                                                                          	 Thuốc không kê đơn 	 Chống viêm, giảm sưng phù nề        	 893100270523
 440	 Hapacol 325 Flu vị cam Hộp 24 gói x 1,5g thuốc bột sủi bọt DHG                                                                 	 Hộp 24 gói x 1,5g thuốc bột sủi bọt                                                                                 	 Thuốc không kê đơn 	 Giảm đau Hạ sốt                     	 893100140324
 441	 Hapacol 250mg vị cam Hộp 24 gói x 1,5g thuốc bột sủi bọt DHG                                                                   	 Hộp 24 gói x 1,5g thuốc bột sủi bọt                                                                                 	 Thuốc không kê đơn 	 Giảm đau Hạ sốt                     	 893100041023
 442	 Hapacol 80mg vị cam Hộp 24 gói x 1,5g thuốc bột sủi bọt DHG                                                                    	 Hộp 24 gói x 1,5g thuốc bột sủi bọt                                                                                 	 Thuốc không kê đơn 	 Giảm đau Hạ sốt                     	 893100013400
 443	 Hapacol 150mg vị cam Hộp 24 gói x 0,9g thuốc bột sủi bọt DHG                                                                   	 Hộp 24 gói x 0,9g thuốc bột sủi bọt                                                                                 	 Thuốc không kê đơn 	 Giảm đau Hạ sốt                     	 893100041023
 444	 Mitux 200mg Hộp 24 gói x 1,5g thuốc bột DHG                                                                                    	 Hộp 24 gói x 1,5g thuốc bột                                                                                         	 Thuốc không kê đơn 	 Hô hấp                              	 893100013800
 445	 Haginat 250 Hộp 2 vỉ x 5 viên nén bao phim DHG                                                                                 	 Hộp 2 vỉ x 5 viên nén bao phim                                                                                      	 Thuốc kê đơn       	 Kháng Sinh                          	 893110378924
 446	 Haginat 500 hộp 2 vỉ x 5 viên nén bao phim DHG                                                                                 	 hộp 2 vỉ x 5 viên nén bao phim                                                                                      	 Thuốc kê đơn       	 Kháng Sinh                          	 VD-24608-16
 447	 Bipp C Hộp 35 gói x 10 viên nén ngậm DHG                                                                                       	 Hộp 35 gói x 10 viên nén ngậm                                                                                       	 Thực phẩm chức năng	 Vitamin và khoáng chất              	 9446/2019/ĐKSP
 448	 Telfor 60mg Hộp 2 vỉ x 10 viên nén bao phim Dược Hậu Giang                                                                     	 Hộp 2 vỉ x 10 viên nén bao phim                                                                                     	 Thuốc không kê đơn 	 Dị ứng và Miễn dịch                 	 893100013900
 449	 Omeprazol DHG Hộp 3 vỉ x 10 viên nang tan trong ruột                                                                           	 Hộp 3 vỉ x 10 viên nang tan trong ruột                                                                              	 Thuốc kê đơn       	 Tiêu hóa Gan Mật                    	 VD-21141-14
 450	 Zaromax 100mg Hộp 24 gói x 0,75 gam DHG                                                                                        	 Hộp 24 Gói                                                                                                          	 Thuốc kê đơn       	 Kháng Sinh                          	 893110202800
 451	 Clorpheniramin 4 Hộp 10 vỉ x 20 viên nén dài DHG                                                                               	 Hộp 10 vỉ x 20 viên nén dài                                                                                         	 Thuốc không kê đơn 	 Dị ứng và Miễn dịch                 	 VD-21132-14
 452	 Eugica Hộp 10 vỉ x 10 viên nang mềm Mega                                                                                       	 hộp 10 vỉ x 10 viên                                                                                                 	 Thuốc không kê đơn 	 Hô hấp                              	 893100512124
 453	 Cifga 500mg Hộp 2 vỉ x 10 viên nén bao phim DHG                                                                                	 Hộp 2 vỉ x 10 viên                                                                                                  	 Thuốc kê đơn       	 Kháng Sinh                          	 VD-20549-14
 454	 Klamentin 500/125mg Hộp 3 vỉ x 4 viên nén bao phim DHG                                                                         	 Hộp 3 Vỉ x 4 Viên                                                                                                   	 Thuốc kê đơn       	 Kháng Sinh                          	 893110051424
 455	 Thuốc nhỏ mắt Eyelight Vita Hộp 1 lọ 10ml DHG                                                                                  	 Hộp x 10ml                                                                                                          	 Thuốc không kê đơn 	 Mắt                                 	 893100344823
 456	 Hapacol 500mg Hộp 4 vỉ x 4 viên nén sủi bọt DHG                                                                                	 Hộp 4 vỉ x 4 viên                                                                                                   	 Thuốc không kê đơn 	 Giảm đau Hạ sốt                     	 VD-20571-14
 457	 Clabact 500 hộp 2 vỉ x 10 viên nén bao phim DHG                                                                                	 hộp 2 vỉ x 10 viên                                                                                                  	 Thuốc kê đơn       	 Kháng Sinh                          	 893110309324
 458	 Rovas 1,5M hộp 2 vỉ x 10 viên DHG                                                                                              	 2 vỉ x 8 viên nén bao phim                                                                                          	 Thuốc kê đơn       	 Kháng Sinh                          	 VD-22102-15
 459	 Klamentin 500/125 hộp 1 túi x 3 vỉ x 4 viên nén dài bao phim DHG                                                               	 1 túi x 3 vỉ x 4 viên nén dài bao phim                                                                              	 Thuốc kê đơn       	 Kháng Sinh                          	 893110051424
 460	 Klamentin 875/125 hộp 1 túi x 2 vỉ x 7 viên DHG                                                                                	 1 túi x 2 vỉ x 7 viên nén dài bao phim                                                                              	 Thuốc kê đơn       	 Kháng Sinh                          	 VD-24618-16
 461	 Hapacol Extra 500/65 Hộp 10 vỉ x 10 viên nén DHG                                                                               	 Hộp 10 vỉ x 10 viên                                                                                                 	 Thuốc không kê đơn 	 Giảm đau Hạ sốt                     	 VD-20570-14
 462	 Oresol 245 Hộp 20 gói DHG Pharma                                                                                               	 Hộp 20 gói                                                                                                          	 Thuốc không kê đơn 	 Vitamin và khoáng chất              	 893100095423
 463	 Zaromax 200mg Hộp 24 gói x 1,5 gam DHG                                                                                         	 Hộp 24 Gói                                                                                                          	 Thuốc kê đơn       	 Kháng Sinh                          	 893110129725
 464	 Hapacol 150mg Hộp 24 gói x 1,5 gam DHG                                                                                         	 Hộp 24 gói x 1,5g                                                                                                   	 Thuốc không kê đơn 	 Giảm đau Hạ sốt                     	 893100041023
 465	 Hapacol 250mg Hộp 24 gói x 1,5 gam DHG                                                                                         	 Hộp 24 gói x 1,5g thuốc bột                                                                                         	 Thuốc không kê đơn 	 Giảm đau Hạ sốt                     	 893100041023
 466	 Hapacol 80mg Hộp 24 gói x 1,5 gam DHG                                                                                          	 Hộp 24 gói x 1,5g thuốc bột                                                                                         	 Thuốc không kê đơn 	 Giảm đau Hạ sốt                     	 893100013400
 467	 Clorpheniramin 4mg Hộp 10 vỉ x 20 viên DHG                                                                                     	 Hộp 10 vỉ x 20 viên                                                                                                 	 Thuốc không kê đơn 	 Dị ứng và Miễn dịch                 	 VD-21132-14
 468	 BisacodylDHG Hộp 4 vỉ x 25 viên nén bao phim tan trong ruột DHG                                                                	 Hộp 4 vỉ x 25 viên                                                                                                  	 Thuốc không kê đơn 	 Tiêu hóa Gan Mật                    	 893100427324
 469	 Coldacmin Flu Hộp 10 vỉ x 10 viên nang cứng DHG                                                                                	 Hộp 10 vỉ x 10 viên nang cứng                                                                                       	 Thuốc không kê đơn 	 Giảm đau Hạ sốt                     	 893100626624
 470	 Modom's 10mg Hộp 10 Vỉ x 10 Viên nén bao phim DHG                                                                              	 hộp 10 vỉ xé x 10 viên nén bao phim                                                                                 	 Thuốc kê đơn       	 Tiêu hóa Gan Mật                    	 VD-20579-14
 471	 MedSkin Clovir 800 Hộp 3 vỉ x 10 viên nén DHG                                                                                  	 Hộp 3 vỉ x 10 viên                                                                                                  	 Thuốc kê đơn       	 Kháng Virus                         	 VD-22035-14
 472	 Zidocin Hộp 2 vỉ x 10 viên nén bao phim DHG                                                                                    	 Hộp 2 vỉ x 10 viên nén bao phim                                                                                     	 Thuốc kê đơn       	 Kháng Sinh                          	 VD-21559-14
 473	 Oresol 245 Hộp 20 gói x 4,1 g Dược Hậu Giang                                                                                   	 hộp 20 gói x 4,1g                                                                                                   	 Thuốc không kê đơn 	 Vitamin và khoáng chất              	 893100095423
 474	 Rovas 3M Hộp 2 vỉ x 5 viên DHG                                                                                                 	 Hộp 2 vỉ x 5 viên                                                                                                   	 Thuốc kê đơn       	 Kháng Sinh                          	 VD-21785-14
 475	 AlphaDHG Hộp 2 vỉ x 10 viên nén                                                                                                	 Hộp 2 vỉ x 10 viên                                                                                                  	 Thuốc kê đơn       	 Chống viêm, giảm sưng phù nề        	 893110844424
 476	 Klamentin 875/125 Hộp 1 túi x 2 vỉ x 7 viên nén DHG                                                                            	 Hộp 2 Vỉ x 7 Viên                                                                                                   	 Thuốc kê đơn       	 Kháng Sinh                          	 VD-24618-16
 477	 Klamentin 500/62,5mg Hộp 24 gói x 3 gam DHG                                                                                    	 Hộp 24 gói                                                                                                          	 Thuốc kê đơn       	 Kháng Sinh                          	 VD-24617-16
 478	 Apitim 5mg Hộp 3 vỉ x 10 viên nang cứng DHG                                                                                    	 Hộp 3 vỉ x 10 viên nang cứng                                                                                        	 Thuốc kê đơn       	 Tim mạch Huyết áp                   	 893110140124
 479	 MedSkin Clovir 400 Hộp 6 vỉ x 10 viên nén DHG                                                                                  	 Hộp 6 vỉ x 10 viên                                                                                                  	 Thuốc kê đơn       	 Kháng Virus                         	 VD-22034-14
 480	 Thuốc xịt mũi Aladka Hộp 1 lọ 15ml DK Pharma                                                                                   	 Chai x 15ml                                                                                                         	 Thuốc kê đơn       	 Hô hấp                              	 893110626924
 481	 Dophazolin Hộp 1 chai 15ml Dược Khoa                                                                                           	 hộp 1 lọ 15 ml                                                                                                      	 Thuốc kê đơn       	 Hô hấp                              	 893110641524
 482	 Xịt họng keo ong Propobee Hộp 1 chai 15ml DK Pharma                                                                            	 Hộp 1 chai 15ml                                                                                                     	 Thực phẩm chức năng	 Hô hấp                              	 190000013/PCBA-BN
 483	 Thuốc nhỏ mắt Eskar new Hộp 1 chai 15ml DK Pharma                                                                              	 Hộp 1 chai 15ml                                                                                                     	 Thuốc kê đơn       	 Mắt                                 	 893110627024
 484	 Xịt răng miệng Midkid                                                                                                          	 Hộp 1 lọ x 30ml                                                                                                     	 Trang Thiết Bị Y Tế	 Chăm sóc cá nhân                    	 220001313/PCBA
 485	 Thuốc xịt mũi Aladka Chai 15ml DKPharma                                                                                        	 1 lọ x15ml                                                                                                          	 Thuốc kê đơn       	 Hô hấp                              	 893110626924
 486	 Thuốc xịt mũi Xylogen Hộp 1 chai 15ml DK Pharma                                                                                	 Hộp 1 chai 15ml                                                                                                     	 Thuốc không kê đơn 	 Hô hấp                              	 893100140724
 487	 Thuốc xịt mũi Aladka Hộp chai 15ml DKPharma                                                                                    	 Hộp chai 15ml                                                                                                       	 Thuốc kê đơn       	 Hô hấp                              	 893110626924
 488	 Thuốc xịt Dophazolin Hộp 1 chai 15ml DK Pharma                                                                                 	 Hộp 1 chai 15ml                                                                                                     	 Thuốc kê đơn       	 Hô hấp                              	 893110641524
 489	 Thuốc nhỏ mũi trẻ em Elossy 0.05% Hộp 1 chai 5ml DK PHARMA                                                                     	 Hộp 1 chai 5ml                                                                                                      	 Thuốc không kê đơn 	 Hô hấp                              	 893100358923
 490	 Thuốc nhỏ mắt Tobradico D Hộp 1 chai 5ml DK pharma                                                                             	 Hộp 1 chai 5ml                                                                                                      	 Thuốc kê đơn       	 Mắt                                 	 VD-20378-13
 491	 Trà Actiso Hộp 20 túi lọc Lâm Đồng                                                                                             	 Hộp 20 túi lọc                                                                                                      	 Thực phẩm chức năng	 Tiêu hóa Gan Mật                    	 1915/2022/ĐKSP
 492	 Trà túi lọc Actiso Preimium Hộp 20 gói x 2g LADOPHAR                                                                           	 Hộp 20 gói x 2g                                                                                                     	 Thực phẩm chức năng	 Tiêu hóa Gan Mật                    	 1915/2022/ĐKSP
 493	 Nanocurcumin Gold Tam Thất Xạ Đen Hộp 3 vỉ x 10 viên                                                                           	 Hộp 3 vỉ x 10 viên                                                                                                  	 Thực phẩm chức năng	 Tiêu hóa Gan Mật                    	 6498/2018/ĐKSP
 494	 Neurovita Đông trùng hạ thảo Hộp 100 viên Mediphar                                                                             	 Hộp 10 vỉ x 10 viên                                                                                                 	 Thực phẩm chức năng	 Thần kinh,não                       	 2464/2024/ĐKSP
